datetime,temp_2m,pm10,no2,co,o3
2018-01-17 06:00:00,276.84888,3.8909477e-08,1.8090153e-08,3.8007184e-07,1.5616184e-08
2018-01-17 09:00:00,277.88208,3.4879005e-08,1.40852485e-08,3.018941e-07,2.465554e-08
2018-01-17 12:00:00,280.29785,2.3226097e-08,3.2792997e-09,1.4679202e-07,5.514452e-08
2018-01-17 15:00:00,279.67407,2.4806376e-08,2.4863804e-09,1.3076685e-07,5.600323e-08
2018-01-17 18:00:00,276.50342,1.5807068e-08,9.507327e-09,1.6615898e-07,3.9057237e-08
2018-01-17 21:00:00,274.87134,1.2480353e-08,1.707484e-08,2.126155e-07,2.8062372e-08
2018-01-18 00:00:00,274.8269,3.2175308e-08,2.9608643e-08,2.9272869e-07,1.2249343e-08
2018-01-18 03:00:00,273.40503,3.71538e-08,2.903999e-08,3.4147556e-07,1.0873325e-08
2018-01-18 06:00:00,272.81445,4.4653163e-08,2.670179e-08,4.0982002e-07,6.5512697e-09
2018-01-18 09:00:00,275.94482,4.311167e-08,1.9585663e-08,4.057023e-07,1.3764836e-08
2018-01-18 12:00:00,279.9026,3.9866883e-09,1.0814345e-08,2.4977163e-07,2.914224e-08
2018-01-18 15:00:00,281.3191,7.6805335e-09,1.0376991e-08,2.0601188e-07,3.067762e-08
2018-01-18 18:00:00,277.41333,2.20851e-08,2.1246992e-08,2.7208537e-07,9.124438e-09
2018-01-18 21:00:00,276.76978,3.2483182e-08,2.489714e-08,3.3792918e-07,4.3427346e-09
2018-01-19 00:00:00,276.19263,3.83934e-08,2.9352849e-08,3.5343044e-07,2.8953686e-09
2018-01-19 03:00:00,275.27197,4.399018e-08,3.0755217e-08,3.9835982e-07,1.0139162e-09
2018-01-19 06:00:00,275.35474,4.9992614e-08,2.7211097e-08,4.5505843e-07,1.0910949e-09
2018-01-19 09:00:00,277.53174,5.3567078e-08,2.1054044e-08,5.177101e-07,1.0346581e-08
2018-01-19 12:00:00,281.5923,1.5255082e-09,1.569692e-08,3.2039065e-07,2.9224646e-08
2018-01-19 15:00:00,283.69604,4.922043e-09,1.7446403e-08,2.9310314e-07,2.8187372e-08
2018-01-19 18:00:00,277.80396,2.987613e-08,2.5711813e-08,4.1565866e-07,3.311832e-09
2018-01-19 21:00:00,277.18433,4.7554316e-08,2.6069497e-08,5.585e-07,1.14615e-09
2018-01-20 00:00:00,274.9895,5.0195254e-08,2.6588578e-08,5.7456975e-07,3.0197944e-09
2018-01-20 03:00:00,273.3269,5.052918e-08,2.8061393e-08,5.8049415e-07,4.0877874e-09
2018-01-20 06:00:00,272.03223,5.4734965e-08,2.8403589e-08,6.4126755e-07,3.6409893e-09
2018-01-20 09:00:00,275.04297,5.4436896e-08,2.2903912e-08,6.412775e-07,9.239492e-09
2018-01-20 12:00:00,279.43237,3.6230727e-08,2.0162581e-08,4.3222153e-07,2.770271e-08
2018-01-20 15:00:00,279.37158,2.6828719e-08,2.0195642e-08,3.4142394e-07,2.7005155e-08
2018-01-20 18:00:00,277.18164,2.9971854e-08,2.7362061e-08,3.5028947e-07,1.0969775e-08
2018-01-20 21:00:00,276.35156,3.2976953e-08,2.6038743e-08,3.5000505e-07,1.0118045e-08
2018-01-21 00:00:00,275.95947,2.665254e-08,1.7404757e-08,2.8020887e-07,2.3418806e-08
2018-01-21 03:00:00,275.17456,3.0681033e-08,2.287458e-08,3.0216225e-07,1.6664679e-08
2018-01-21 06:00:00,275.43384,4.0201552e-08,2.1671225e-08,3.855928e-07,1.1785958e-08
2018-01-21 09:00:00,277.5996,4.1242814e-08,1.5761175e-08,4.1008607e-07,1.6103156e-08
2018-01-21 12:00:00,282.68433,5.0554974e-09,6.740389e-09,2.7473908e-07,3.272372e-08
2018-01-21 15:00:00,283.28247,2.6169156e-09,4.9421462e-09,1.9401766e-07,4.0720504e-08
2018-01-21 18:00:00,281.44727,1.1672299e-08,1.5199072e-08,2.2900136e-07,2.1877781e-08
2018-01-21 21:00:00,277.40137,2.7315945e-08,2.1822471e-08,3.2108204e-07,1.0498217e-08
2018-01-22 00:00:00,277.74463,2.2589315e-08,2.357185e-08,2.8090193e-07,1.5509906e-08
2018-01-22 03:00:00,276.49023,3.1345685e-08,2.682721e-08,3.3569387e-07,9.570575e-09
2018-01-22 06:00:00,275.68457,3.356137e-08,2.531285e-08,3.490932e-07,7.906653e-09
2018-01-22 09:00:00,277.41284,3.4931173e-08,1.6504183e-08,3.5720046e-07,1.4362433e-08
2018-01-22 12:00:00,280.3452,1.650869e-08,5.325923e-09,2.3713811e-07,3.3177468e-08
2018-01-22 15:00:00,280.78418,1.5449977e-08,6.3222667e-09,2.1645371e-07,3.4136583e-08
2018-01-22 18:00:00,277.4275,3.118743e-08,2.0159252e-08,2.9342803e-07,6.7129093e-09
2018-01-22 21:00:00,276.2373,3.9043904e-08,2.3643183e-08,3.4826584e-07,3.6834364e-09
2018-01-23 00:00:00,275.75586,3.8346528e-08,2.5476197e-08,3.5670897e-07,6.4842225e-09
2018-01-23 03:00:00,275.15234,4.657163e-08,2.3320966e-08,4.5204104e-07,7.3100637e-09
2018-01-23 06:00:00,274.15283,5.041401e-08,2.2104878e-08,5.247545e-07,6.4633467e-09
2018-01-23 09:00:00,277.0581,4.6643738e-08,1.8936898e-08,5.108546e-07,1.1283149e-08
2018-01-23 12:00:00,282.2505,2.5907685e-08,1.613095e-08,3.7348323e-07,2.8740855e-08
2018-01-23 15:00:00,283.41895,2.7416359e-08,1.854139e-08,3.5177945e-07,2.6736991e-08
2018-01-23 18:00:00,278.72314,4.0219188e-08,3.0872506e-08,4.1727722e-07,2.4803395e-09
2018-01-23 21:00:00,276.37012,4.8617657e-08,3.048875e-08,4.771856e-07,1.5037181e-10
2018-01-24 00:00:00,274.97583,4.3077183e-08,2.6498308e-08,4.1271372e-07,2.9600238e-09
2018-01-24 03:00:00,273.80786,4.697765e-08,2.7215677e-08,4.4270786e-07,1.8709954e-09
2018-01-24 06:00:00,273.0144,4.999912e-08,2.500669e-08,4.733887e-07,2.3042572e-09
2018-01-24 09:00:00,275.52637,4.9269545e-08,1.8704217e-08,4.7509496e-07,1.0599402e-08
2018-01-24 12:00:00,280.57422,4.051223e-08,1.304292e-08,3.223062e-07,3.258544e-08
2018-01-24 15:00:00,281.47974,3.3604174e-08,1.2236829e-08,2.6582518e-07,3.449852e-08
2018-01-24 18:00:00,278.1516,4.975171e-08,2.4345853e-08,3.871354e-07,2.1323152e-09
2018-01-24 21:00:00,275.30103,6.156591e-08,2.3999826e-08,5.275858e-07,9.714511e-11
2018-01-25 00:00:00,275.4817,6.053e-08,3.0593515e-08,5.7535203e-07,1.071344e-10
2018-01-25 03:00:00,275.8125,6.390991e-08,3.137163e-08,6.737174e-07,7.878439e-12
2018-01-25 06:00:00,275.83228,5.9136465e-08,2.9873437e-08,6.485396e-07,1.6787608e-11
2018-01-25 09:00:00,277.1604,5.054568e-08,2.7081674e-08,5.9603514e-07,3.3330816e-09
2018-01-25 12:00:00,279.14014,5.1516842e-08,1.6843819e-08,3.494184e-07,1.9224176e-08
2018-01-25 15:00:00,279.3042,4.110272e-08,1.531669e-08,2.948127e-07,2.0854992e-08
2018-01-25 18:00:00,278.55005,4.7276064e-08,2.364511e-08,3.4677186e-07,5.859751e-09
2018-01-25 21:00:00,278.35425,4.9718697e-08,2.7614105e-08,3.7393073e-07,3.272769e-09
2018-01-26 00:00:00,278.07007,4.7666155e-08,2.971556e-08,4.1963082e-07,1.0524203e-09
